response,context,context/0,context/1,context/2,context/3,context/4,context/5
Haha u wear anything also nice lah my angel hao de best is dun rain lah lol,Okie then I tell u the time on sat,Haha haven spoil arh beok mrt can arh lol hmmmmmm raining thendie lo lol u also won t go out if rain T T or go play bowling Haha,Cos I was thinking Sunday meet and discuss math answer if u r in pasir ris lol,Hmmm u Sunday got go back home,Wa power that is super long lol bedok I tot u say dunwant cos recently got go lol haha true sat Hope dun rain lol,Haha ok arh tml then decide as usual lol Woot Tml is Friday howcan go home sleep so early Lol,Hmmm anywhere u want to go lol u want ur pepper lunch Thenafter that do wat leh Watch drama all day long Lol
Which bus shall I take where to stop you still stay in the same hall and room,Oh Then ok la He he See you tomorrow la,see you la I wait for you,when shall I go ah afternoon can,No why in school,Hi you back or not,Will you be free on sunday night I just met sebastian We suggest a small class gathering at the studio Play cards gamble a bit Chit chat Blah Blah Hope you guys can make it,will u b able to help me with sorting tml anytime from 2pm it will be at s15 lvl benches near lift and will take ard 45 mins Loo Geok
m refering to the BZ project Wah Wah Wah Esp the ratios Wah Wah Wah,Paiseh I check newsPaper 2day no tt show 2day is WwF dunno y no more liao Maybe last wk last episode w Friends I dunno Sorry,I think should have lor but actually it is not v horrifying la come think of it Last week was cos I was watching alone Not Scary la after Fear Factor,powerful than Yang Zong Bao Just now heard Fish RU GUO YOU YI TIAN on MTV v nice,Sorry but personally I think this guy performance 2day is not beta than last few weeks Yuh v tou ru but Daniel is beta Later tt stupid Xing Qing V funny,e taiwanese actors r good Actually quite creative la Xu Shi Lin blur blur one Qing Xiao Xiao is like her granny swindler,it is quite huang miu but still not bad cos e myth is well written,nan ting Faye Wong kept laughing beside her
Hot hot baobei Rem to drink water and dun scratch ah Love u,So many Okok u continue waiting I do my work first,Need But need to do my homework first Aunty u shld rest early aftera long day Nite nite,Hahaha Ok See u on Sunday then Btw taken ur Med,Hahahaha Not help u eat la Help u rearrange but if u want to let meeat I ok one p,Haha Bathe too shiok cannot feel the time pass So easy eateverything inside then no need to arrange again Haha If can u waittill Sunday I help u,That s nice Finally can use ur new fridge Sunday I go see see Haha Sry for late reply Went to bathe just now,Aunty how was ur day weihao just left my house coming home now
Ya the brown one cos the friction suck haha yup and a halflol how is ur dinner today,Better then good Today also rest more Lol but u more familiarwith it mah lol today wear another shoe go learn driving feel soweird next time must wear back the levi le lol,Haha ya lo cos I decided to watch finish the show lol,Lol quite late lol so shiok arh lol then how u feeling todaylol lol but u noe Korean le arh so not far le if u take lol,I decided to pon my lec and go home nap a while Haha my psychotest just now is about memorizing Korean word lo omg ur forte,Haha same same lah sleeppppp lol okie I also At most Sunday chiong arh,Wahahahah that is y we so pei lol then sleep early lo lol ya loso Chan sob sob sob so sad,Ya lo rest more Lol I feel so lazy dun feel like doing anythinglol next Monday got another assignment to hand up omg sianzzzz hmmm ok arh I dun mind also up to u
Haha yea but as in the belt to match his pink tie Hahaha ten bucks I only have one skirt and its denim so not very formal,Siannnnnn so do I wear the belt,Hahaha I could actl just ask my dad bring tmr Heehee,I mean entry proof,Oh wait I found it LOL,Wear a dress Haha die I think I might have to go home today haha,Hahaha damnnnn I think so D haha oh I don t usually either itsjust to match Chester hahaha,Entry proof LOL I have to get dress I think it says knee length dress
hey meet at on msn,Hello pple happy prosperous new yr May you enjoy good health n wealth this yr Dun eat too much n see u all soon Take care Elaine,Crazy its v normal wat He will do e same audrey they all also,ll beat the crap out of you p,Wah No lect ah Then you call me k I am free from to 2pm,s late den get seats first,Hey kreen y so quiet u bz,Oh Cz i maybe out cycling Then nvm enjoy urself
dar u eat alr,paiseh i still on where are we meeting,hee yes dear on the way le love u so much,kk thks for reminder seeya,i dunwan help u reopen haha,HSR is the popular estate company,Hi name I want to express my deep appreciation to u for the magicshow u have performed to the elderly party yesterday They wereastounded by your show May we have more of such meaningfulpartnership in days ahead Thanks again Mr lau hsr,i find u at train tail
Hmm think shld study math only since its used for exam,Lol I was thinking of yeowxiang T T then math when,Waa how come they first When s ours,Physics tested till where ar,Jurong or clementi ur choice,Jio u cut hair 2moro,Okok go eat le Ttyl,Ok thks So not a lot la
Are you free tmr,t do anything to my part of the project Thanx,What u doing this holi,Can i have my icq no,haha try some more,Call you back later,Will be min late,Will be back later
Waa imba Guo ran shi soh jie,Quest the I compound,Worksheets 2c up till arene onlywhere got Williamson,Gg Wksht 2c where got ester,Tot u coming 2day,NaOH in ethanol reflux is wat,He is his own father,Son of picollo is picollo Wth
Nvm la I find my way when it comes,I bike one la so I rather know where to park,Woo I dunno my way around pgp leh,Its still at west coast park right,I suay suay got one lesson from pm Morning got lab so Iprobably spend whole day doing lab also,Ok just call before 5pm office hour lor,Eh moses help me call metal gear and ask for bernie k Pester him coshe said he will send quotation by monday Also mention to him we needmore buttons Tell me its best we can communicate by email I gotlesson from pm and u haven come in till now Need your phone,Alright Please don t stress out u r still young If u have any phychem emaths or amaths just sms or email me Gd9
She didn t feel it when she said wat den dao her msges lo,Lol general Cheng When u telling her,I not I m position to say le But her attitude is Rly wrong Wat the rest say,Waa how come all rs so cui U gonna hav cool down period,Rly Yest he still sent cherie hm le,But rem last time was the final warning alr Obviously she dun take it srsly,Waa lame she proposed break up one le Whyshe wan break in first place,Dun u feel like u hav no say in the relationship U shld remind herthe previous time she wanted to break up If this time so easytogether agn then nxt time sure same prob agn
Ohh we go back early lah,LOL sure sure no worries We can go another day,So Just means hr saw me for hours a week in the entire year andonly hear me talk for half an hour Hahaha ohh come change gender then crash my cluster outing hahaha noo I didn t dare to,Evening When are you free Or we can arrange another day,Ooo I think that sounds fine but don t we have boarding assembly and ocs,Oh no sorry I just received this coming now,Haha he didn t get a chance to Hahaha sorry I just went to bathe anddrink soup Haha how much did you shout today It sounded alright hahaha how were you going to protect,OH HEY WE CAN GO TMR
Hahas Is it very aggressive,Level head sent email to my dad say today we supposed to receivele Guess u also no have,Integrated program Looks like ee are supposed to receive some letter,Did u get the ip sheet today,MAMBA is fast Deadly Accurate Before u know wat has hit you yourdown Tts pretty mch it,Naice I shall name the mantis MAMBA Is he eating,Nah not true Hahas guess I go there to see pro ba,I haven Rly noticed lols But they Rly look pro le Like flying up liddat
m at hm U going office later,ll go myself then See you tomolo,t know But audrey said time changed to one because you and xy working Will ask her later If you know liao tell me also,U mean at A bit early I need to work,U ask Xyan whether she can make it if not all come for e lunch lah how long can we eat if u rush den u make a move first,Tmr u fetching mum iszit,Later u fetching mum iszit,How come u at home
Haha okay la I don t find it out of the ordinary leh I may be xiaozhi but my that thing is da zhi de lor,Haha both also can talk to u better than watch tv right u haven teven reached yet what old sia actually u look younger than Iplctured What abt me lol,pei wo jiang hua cancer girlgirl actually got tv show to watch la Ialready veteran liao can,Haha my bus is like ghost bus we chatted until buses came Lol Yepsure did Hope u did too Nice seeing you,Hahaha no but it s coming you up le,Haha how much is it ah I ve always wanted to go too But tooo ex lol,Eh wait I walking to cityvibe,I will guide you
Lols my ticket no Won nth,In dad car Why le,Won anything 2moro wat time go there,Tot meifang say mayb having If not u apply leave for,Are u and yh going chalet,Yea going hm soon U le,Lols out with my family They eating Hahas the last few for a boysare frm our sch,Waa Emo la the team take best readings mine 4th Gideon dam gay got DECIMAL min wen sheng s faster than me Gotta train for hotwheels
Oh you think too much Just a filler,The zhong dian is the first part And how is the second part spoilish,Srsly I said good morning to you and u say it spoils ur morning Sigh I m so sad,Wah lao I give u nice greeting then say I spoil ah Sobs Meanie,Lol bo liao la you,Zzz so sneaky one nv even say hi,Oh you were there ah nv see you sia,Lol what talking you
hi how is your mother and the operation hope all is well pls send my regards,do we have to file for grad now,tonite able to work rite,wil u be late coz today onli three of u huijing jolyn n u,you confirm with me one day before can,Hi Just wanna wish you a merry and blessed christmas Hope all your wishes come true this christmas MERRY CHRISTMAS,s sooo cute Confirm will make you smile But the stupid postman asked me to get out of the mailbox,Hey guys meet you all at 1415hrs somerset mrt station ok with you
Er Jie ask u log in Skype or MSN I going out U talk to her,Come safely into my arms ok Muackss,I just bathe out Hee Love love you Faster come,De de mummy got cook porridge for lunch come back eat,Dar still awake ma,I couldn t help it I just had to sayang my boy a little hee Andtell u that I love love u,Yup yup Will u be free this week,Heyhey my friend Happy birthday
Enviromentally friendly detergent Later Not sure leh,What rightful Yeah weigh the items that people give and give them detergent packs according to the weight,People I dont know will be at the carnival Basically people will bring newspapers or clothes to exchange for washing detergent and all that,Just like carnival that promotes environmental stuff,No lah just saying Yeah reached my destination,Going to petir Just finished lunch Yeah My mom normally gives in or does something else to make up for it in the end,I have no idea how to convince mothers,Lor doesnt mean it s obvious
Haha thanks jinpeng Happy lunar new year too,Hmm okay I reach home le tell you,After your movie you want to play mah,After your movie you want to play mah,After your movie you want to play mah,Haha cally watching movie later at am I dont have players le See if you can find any bah if not stay at home rot,Yo tonight you free mah,Haha dont worry eh things will work out
Depends on what time you leave office and what time we can meet Almost done here Should i go home first,s eat out later Just come home after class Love love,730pm What time will you reach here Or do you want meet in town,Just had lunch at mac donalds,Have dinner then I had a snack Quite full so will have something light later Please eat your dinner first ok,Had a corn Are you going for your 2nd round of lunch If so can i join Haha,CHELSEA losing by goals already finished already end of the match,chelsea will win give ball lah
oo which kind u want heavier liighter,hey i coding my stuff at home now productive now so will go schoollater abit ok or u gt things to discuss now,orhh juz saw ur sms i go tr try presentation,dear u where le,hw u going to code without thinking of input output needed,btw i haven coded entity yet only done some interface,uploaded it to ivle but atill wirking on the service api,yeiyei i just checked my meeting at 1pm
