"tweetid","user_display_name","tweet_text","clean_text","troll_or_not"
1189300879905755142,"AbacusNews","Hungry? With a tap on your phone, you can summon this self-driving vending machine for drinks, snacks, or even bouq… https://t.co/GzOzlJN5UB","Hungry With a tap on your phone you can summon this selfdriving vending machine for drinks snacks or even bouq",0
1301520005822058496,"guardian","US jobless claims drop sharply as government changes counting method https://t.co/8Tp2dfzkEm","US jobless claims drop sharply as government changes counting method",0
359158016613949441,"ZTUhI030WiV97FLuXgAU427wsJ1TtqtTBMXjKgShnU=","IT GOES SOMETHING LIKE THIS","IT GOES SOMETHING LIKE THIS",1
1278149046973001729,"FrankLuntz","In Arizona, coronavirus isn’t just a pandemic.  It is now a catastrophe. https://t.co/qbavscVL2A","In Arizona coronavirus isnt just a pandemic It is now a catastrophe",0
1301895307098230785,"FoxFriendsFirst","‘100 Days Of Liberal Lawlessness’: Attorneys General @Georgia_AG and @AGRutledge are challenging leaders in Democra… https://t.co/veh70leHfz","Days Of Liberal Lawlessness Attorneys General and are challenging leaders in Democra",0
1294288179034501121,"MSNBC","On Pres. Trump blocking funds to the U.S. Postal Service, @JoyAnnReid says, “It is quite frankly, a twisted and bro… https://t.co/rVs7ROprw3","On Pres Trump blocking funds to the US Postal Service says It is quite frankly a twisted and bro",0
1275247009990049792,"NewYorker","“On Friday night, William Barr seemed to embrace obstruction of justice as a way of life in his ongoing defense of… https://t.co/vxaUXekPaI","On Friday night William Barr seemed to embrace obstruction of justice as a way of life in his ongoing defense of",0
1097180832060633090,"Peggynoonannyc","A possibility, which has become over the years my guess. Lincoln wanted to be fully Christian, to believe what they… https://t.co/HxRfIi7Lnd","A possibility which has become over the years my guess Lincoln wanted to be fully Christian to believe what they",0
1267622414562799616,"AOC","He holds that Bible like it’s burning him.","He holds that Bible like its burning him",0
1158359650196238336,"davidaxelrod","In Chicago last week, 74 people were shot and six killed.  And that is the norm.
Mass shootings are horrific.
Hate… https://t.co/au7hq3HIcr","In Chicago last week people were shot and six killed And that is the norm Mass shootings are horrific Hate",0
654323997962694656,"KansasCityDailyNews","#news Dole recalls cases of bagged salad over Salmonella concerns","#news Dole recalls cases of bagged salad over Salmonella concerns",1
498471080882106368,"fe36814d91c603bdd794327a26800e8a69da1eb0c49e74c627c3742615fba7a4","To love someone who simply smiles or stares at you is easy. The hard thing is how to make that person fall for you.","To love someone who simply smiles or stares at you is easy The hard thing is how to make that person fall for you",1
619491783395794944,"New Orleans Online","Optimum performance: pro #tennis is a demanding, physical game  http://t.co/XsrhO4RrZW http://t.co/rUqCaEy9uq","Optimum performance pro #tennis is a demanding physical game",1
454342659826782209,"BoswinkSyri00","Oakland Teen Akintunde Ahmad Accepted at Ivy League Schools With 5.0 GPA and 2100 SAT Scor http://t.co/mSNUNt6LHG","Oakland Teen Akintunde Ahmad Accepted at Ivy League Schools With GPA and SAT Scor",1
966682375353757699,"曲剑明","＠null It is 15:32 CET now","null It is CET now",1
1300427076500029442,"stegersaurus","one night you’re at migas the next you’ve been detained and all tweets of you scrubbed clean by your state employer https://t.co/ZVH0BCKJJX","one night youre at migas the next youve been detained and all tweets of you scrubbed clean by your state employer",0
937237383564623872,"6fxdBS7M0NZMGtUtKfOWYi4ekC5JErjXGP+gQN4ais=","This travel jacket will cure your packing problems — and it's half off right now http… https://t.co/cM9mWgYuT0","This travel jacket will cure your packing problems and its half off right now",1
